"Date","Open","low","close","high_to_low","open_to_close","high"
"Date","Open","High","Low","Close","",""
"(High-Low)","","","","","(Open-Close)",""
"2020-11-18","29107.90","29056.75","29749.85","728.00","-641.95","29784.75"
"2020-11-17","28792.25","28722.90","29181.30","516.35","-389.05","29239.25"
"2020-11-14","28685.70","28431.85","28594.30","320.60","91.40","28752.45"
"2020-11-13","28108.70","27703.30","28465.70","817.25","-357.00","28520.55"
"2020-11-12","28633.75","28066.05","28278.80","606.85","354.95","28672.90"
"2020-11-11","28713.15","28211.10","28845.00","819.80","-131.85","29030.90"
"2020-11-10","28039.45","27916.90","28606.00","885.60","-566.55","28802.50"
"2020-11-09","27088.95","27068.95","27534.10","526.05","-445.15","27595.00"
"2020-11-06","26274.10","26135.30","26798.95","718.15","-524.85","26853.45"
"2020-11-05","26174.80","26000.05","26313.10","375.15","-138.30","26375.20"
"2020-11-04","25539.55","25142.00","25771.60","749.00","-232.05","25891.00"
"2020-11-03","25108.00","25085.70","25682.80","675.00","-574.80","25760.70"
"2020-11-02","24367.60","24120.60","24892.50","1,018.40","-524.90","25139.00"
"2020-10-30","24090.15","23612.70","23900.90","664.65","189.25","24277.35"
"2020-10-29","24063.50","23822.05","24092.00","517.05","-28.50","24339.10"
"2020-10-28","24737.85","24057.95","24232.50","722.75","505.35","24780.70"
"2020-10-27","24288.05","23924.20","24769.50","885.45","-481.45","24809.65"
"2020-10-26","24525.80","23867.75","24075.45","709.55","450.35","24577.30"
"2020-10-23","24669.20","24360.85","24478.30","403.30","190.90","24764.15"
"2020-10-22","24447.35","24250.20","24484.15","440.95","-36.80","24691.15"
"2020-10-21","24444.20","24099.85","24635.05","723.75","-190.85","24823.60"
"2020-10-20","24117.35","24039.85","24311.80","371.05","-194.45","24410.90"
"2020-10-19","23902.90","23754.85","24266.75","566.10","-363.85","24320.95"
"2020-10-16","23219.85","23148.95","23533.25","497.25","-313.40","23646.20"
"2020-10-15","23920.35","22970.95","23072.40","1,116.90","847.95","24087.85"
"2020-10-14","23353.15","23149.45","23874.65","813.25","-521.50","23962.70"
"2020-10-13","23663.05","23431.50","23492.20","343.65","170.85","23775.15"
"2020-10-12","23955.60","23552.60","23712.80","637.75","242.80","24190.35"
"2020-10-09","23312.60","23132.45","23846.80","771.65","-534.20","23904.10"
"2020-10-08","23150.25","23063.60","23191.35","387.30","-41.10","23450.90"
"2020-10-07","22836.95","22607.80","22964.80","428.40","-127.85","23036.20"
"2020-10-06","22673.05","22521.05","22853.70","372.45","-180.65","22893.50"
"2020-10-05","22352.10","22247.25","22370.95","521.30","-18.85","22768.55"
"2020-10-01","21685.25","21664.15","22246.00","629.60","-560.75","22293.75"
"2020-09-30","21405.25","21128.50","21451.80","420.85","-46.55","21549.35"
"2020-09-29","21770.90","21280.60","21411.30","530.90","359.60","21811.50"
"2020-09-28","21152.05","21055.10","21665.50","653.75","-513.45","21708.85"
"2020-09-25","20740.80","20430.70","20982.35","633.60","-241.55","21064.30"
"2020-09-24","20898.80","20404.90","20456.85","550.70","441.95","20955.60"
"2020-09-23","21350.80","20821.00","21178.50","544.05","172.30","21365.05"
"2020-09-22","21445.25","20958.45","21139.10","514.90","306.15","21473.35"
"2020-09-21","21983.40","21274.30","21366.80","824.55","616.60","22098.85"
"2020-09-18","22439.35","21784.90","22031.05","684.50","408.30","22469.40"
"2020-09-17","22352.00","22267.05","22320.35","237.40","31.65","22504.45"
"2020-09-16","22476.30","22216.50","22573.55","442.90","-97.25","22659.40"
"2020-09-15","22202.80","22062.35","22465.65","451.80","-262.85","22514.15"
"2020-09-14","22683.35","22028.15","22101.25","729.15","582.10","22757.30"
"2020-09-11","22509.95","22205.95","22479.95","462.80","30.00","22668.75"
"2020-09-10","22466.55","22225.25","22466.20","453.40","0.35","22678.65"
"2020-09-09","22486.70","22080.40","22267.00","474.20","219.70","22554.60"
"2020-09-08","22971.20","22641.40","22744.40","422.75","226.80","23064.15"
"2020-09-07","23036.25","22716.25","22945.05","392.85","91.20","23109.10"
"2020-09-04","23119.15","22876.90","23011.50","517.90","107.65","23394.80"
"2020-09-03","23986.15","23451.65","23530.85","599.95","455.30","24051.60"
"2020-09-02","23769.00","23482.55","23874.55","443.60","-105.55","23926.15"
"2020-09-01","23893.80","23473.15","23812.00","726.50","81.80","24199.65"
"2020-08-31","25038.80","23385.30","23754.35","1,847.30","1,284.45","25232.60"
"2020-08-28","23635.30","23599.20","24523.80","1,012.60","-888.50","24611.80"
"2020-08-27","23511.45","23464.15","23600.35","239.90","-88.90","23704.05"
"2020-08-26","23175.55","23093.15","23414.20","360.25","-238.65","23453.40"
"2020-08-25","22973.40","22857.90","23092.15","322.40","-118.75","23180.30"
"2020-08-24","22436.85","22410.05","22833.00","487.45","-396.15","22897.50"
"2020-08-21","22190.70","22165.05","22299.60","179.00","-108.90","22344.05"
"2020-08-20","21989.90","21886.70","21999.45","193.20","-9.55","22079.90"
"2020-08-19","22315.40","22234.25","22285.90","185.10","29.50","22419.35"
"2020-08-18","21702.00","21629.40","22170.60","598.35","-468.60","22227.75"
"2020-08-17","21906.95","21403.15","21700.85","506.25","206.10","21909.40"
"2020-08-14","22334.95","21459.10","21679.40","875.85","655.55","22334.95"
"2020-08-13","22395.20","22139.60","22196.35","300.35","198.85","22439.95"
"2020-08-12","22135.95","21990.20","22264.00","336.35","-128.05","22326.55"
"2020-08-11","22050.20","22039.85","22227.20","237.75","-177.00","22277.60"
"2020-08-10","21824.90","21795.10","21900.25","276.85","-75.35","22071.95"
"2020-08-07","21620.25","21451.30","21754.00","335.95","-133.75","21787.25"
"2020-08-06","21644.25","21370.30","21642.60","556.25","1.65","21926.55"
"2020-08-05","21686.85","21448.40","21509.95","488.10","176.90","21936.50"
"2020-08-04","21248.25","21057.75","21490.50","518.60","-242.25","21576.35"
"2020-08-03","21543.80","21031.45","21072.10","512.35","471.70","21543.80"
"2020-07-31","21730.55","21375.00","21640.05","431.95","90.50","21806.95"
"2020-07-30","22195.05","21580.15","21646.85","672.45","548.20","22252.60"
"2020-07-29","22075.00","21906.35","22076.60","440.05","-1.60","22346.40"
"2020-07-28","21940.15","21611.40","22105.20","621.60","-165.05","22233.00"
"2020-07-27","22664.60","21801.35","21848.75","866.70","815.85","22668.05"
"2020-07-24","22853.20","22417.20","22662.05","436.85","191.15","22854.05"
"2020-07-23","22854.85","22734.90","23083.90","387.45","-229.05","23122.35"
"2020-07-22","23159.00","22658.20","22882.60","553.15","276.40","23211.35"
